Oven Number,Radiation,log_rad,Lambda_0.25
1,0.15,-1.8971199849,-1.5106680908
2,0.09,-2.4079456087,-1.80910977
3,0.18,-1.7147984281,-1.3945777503
4,0.1,-2.302585093,-1.7506346992
5,0.05,-2.9957322736,-2.108516782
6,0.12,-2.1202635362,-1.6457352349
7,0.08,-2.5257286443,-1.8726816412
8,0.05,-2.9957322736,-2.108516782
9,0.08,-2.5257286443,-1.8726816412
10,0.1,-2.302585093,-1.7506346992
11,0.07,-2.6592600369,-1.9425253106
12,0.02,-3.9120230054,-2.4957587628
13,0.01,-4.605170186,-2.7350889359
14,0.1,-2.302585093,-1.7506346992
15,0.1,-2.302585093,-1.7506346992
16,0.1,-2.302585093,-1.7506346992
17,0.02,-3.9120230054,-2.4957587628
18,0.1,-2.302585093,-1.7506346992
19,0.01,-4.605170186,-2.7350889359
20,0.4,-0.9162907319,-0.8189170849
21,0.1,-2.302585093,-1.7506346992
22,0.05,-2.9957322736,-2.108516782
23,0.03,-3.5065578973,-2.3352834199
24,0.05,-2.9957322736,-2.108516782
25,0.15,-1.8971199849,-1.5106680908
26,0.1,-2.302585093,-1.7506346992
27,0.15,-1.8971199849,-1.5106680908
28,0.09,-2.4079456087,-1.80910977
29,0.08,-2.5257286443,-1.8726816412
30,0.18,-1.7147984281,-1.3945777503
31,0.1,-2.302585093,-1.7506346992
32,0.2,-1.6094379124,-1.3250387801
33,0.11,-2.2072749132,-1.6963942037
34,0.3,-1.2039728043,-1.039668782
35,0.02,-3.9120230054,-2.4957587628
36,0.2,-1.6094379124,-1.3250387801
37,0.2,-1.6094379124,-1.3250387801
38,0.3,-1.2039728043,-1.039668782
39,0.3,-1.2039728043,-1.039668782
40,0.4,-0.9162907319,-0.8189170849
41,0.3,-1.2039728043,-1.039668782
42,0.05,-2.9957322736,-2.108516782
